route,direction,weekday,hour,2013,2014,2015,2016,2017
I-95 North to Maine,Northbound,weekend,12 PM,46.46,48.05,51.78,51.4,52.78
I-95 North to Maine,Northbound,weekend,1 PM,47.81,48.97,53.36,52.95,52.52
I-95 North to Maine,Northbound,weekend,2 PM,47.29,47.64,50.4,50.93,49.91
I-95 North to Maine,Northbound,weekend,3 PM,46.08,45.98,48.69,48.92,48.83
I-95 North to Maine,Northbound,weekend,4 PM,45.98,45.64,47.66,47.71,47.08
I-95 North to Maine,Northbound,weekend,5 PM,45.94,45.78,47.42,47.81,46.08
I-95 North to Maine,Northbound,weekend,6 PM,46.18,45.74,46.52,46.69,45.69
I-95 North to Maine,Northbound,weekend,7 PM,46.37,45.9,46.27,46.76,45.84
I-95 North to Maine,Northbound,weekend,8 PM,47.8,46.41,47.67,49.15,47.17
I-95 North to Maine,Northbound,weekend,9 PM,47.82,47.47,48.96,49.43,48.72
I-95 North to Maine,Southbound,weekend,6 AM,45.61,44.76,45.93,46.58,45.87
I-95 North to Maine,Southbound,weekend,7 AM,45.24,44.88,45.72,45.59,45.7
I-95 North to Maine,Southbound,weekend,8 AM,45.43,44.42,45.67,45.62,45.64
I-95 North to Maine,Southbound,weekend,9 AM,45.34,44.79,45.72,45.86,45.49
I-95 North to Maine,Southbound,weekend,10 AM,45.5,44.87,46.02,46.31,46.15
I-95 North to Maine,Southbound,weekend,11 AM,45.45,45.11,46.85,46.98,46.99
I-95 North to Maine,Southbound,weekend,12 PM,45.82,45.44,48.19,49.28,49.38
I-95 North to Maine,Southbound,weekend,1 PM,46.7,45.92,49.6,51.65,50.98
I-95 North to Maine,Southbound,weekend,2 PM,46.8,47.02,50.7,51.68,50.49
I-95 North to Maine,Southbound,weekend,3 PM,48.35,47.77,52.02,51.79,51.47
I-95 North to Maine,Southbound,weekend,4 PM,49.39,48.64,51.71,52.62,52.33
I-95 North to Maine,Southbound,weekend,5 PM,50.4,49.32,51.82,50.86,51.22
I-95 North to Maine,Southbound,weekend,6 PM,48.72,48.51,48.5,49.62,49.02
I-95 North to Maine,Southbound,weekend,7 PM,46.51,47.1,46.36,48.33,47.11
I-95 North to Maine,Southbound,weekend,8 PM,47.53,48.31,47.65,48.48,46.95
I-95 North to Maine,Southbound,weekend,9 PM,47.97,50.09,47.85,48.72,47.32
Mass Turnpike,Eastbound,"Tue, Wed, Thu",6 AM,34.06,35.03,40.23,42.23,40.81
Mass Turnpike,Eastbound,"Tue, Wed, Thu",7 AM,51.48,52.43,53.22,56.58,56.63
Mass Turnpike,Eastbound,"Tue, Wed, Thu",8 AM,51.08,52.99,54.91,56.66,57.6
Mass Turnpike,Eastbound,"Tue, Wed, Thu",9 AM,43.02,43.06,40.34,47.02,42.88
Mass Turnpike,Eastbound,"Tue, Wed, Thu",10 AM,30.91,31.77,31.61,33.79,31.22
Mass Turnpike,Eastbound,"Tue, Wed, Thu",11 AM,26.89,26.56,29.65,29.86,29.05
Mass Turnpike,Eastbound,"Tue, Wed, Thu",12 PM,26.37,26.24,28.61,29.34,30.07
Mass Turnpike,Eastbound,"Tue, Wed, Thu",1 PM,26.23,26.12,27.87,28.26,29.38
Mass Turnpike,Eastbound,"Tue, Wed, Thu",2 PM,26.09,26.43,27.39,27.74,28.13
Mass Turnpike,Eastbound,"Tue, Wed, Thu",3 PM,26.84,26.78,28.44,29.33,30.32
Mass Turnpike,Eastbound,"Tue, Wed, Thu",4 PM,30.82,30.48,33.46,34.31,37.01
Mass Turnpike,Eastbound,"Tue, Wed, Thu",5 PM,48.52,41.21,41.83,41.05,43.58
Mass Turnpike,Eastbound,"Tue, Wed, Thu",6 PM,48.75,39.34,38.71,38.89,40.78
Mass Turnpike,Eastbound,"Tue, Wed, Thu",7 PM,30.02,27.03,27.95,28.61,28.48
Mass Turnpike,Eastbound,"Tue, Wed, Thu",8 PM,26.09,25.91,27.36,27.3,26.64
Mass Turnpike,Eastbound,"Tue, Wed, Thu",9 PM,26.46,26.42,29.78,27.99,27.91
Mass Turnpike,Westbound,"Tue, Wed, Thu",6 AM,26.4,26.34,27.32,27.29,26.81
Mass Turnpike,Westbound,"Tue, Wed, Thu",7 AM,27.21,27.47,31.15,28.51,27.78
Mass Turnpike,Westbound,"Tue, Wed, Thu",8 AM,30.69,36.09,37.62,31.42,32.56
Mass Turnpike,Westbound,"Tue, Wed, Thu",9 AM,28.91,30.42,29.95,27.98,27.88
Mass Turnpike,Westbound,"Tue, Wed, Thu",10 AM,27.97,27.17,28.42,27.89,27.87
Mass Turnpike,Westbound,"Tue, Wed, Thu",11 AM,27.43,27.12,29.05,28.07,28.76
Mass Turnpike,Westbound,"Tue, Wed, Thu",12 PM,27.58,27.16,30.8,28.18,30.53
Mass Turnpike,Westbound,"Tue, Wed, Thu",1 PM,27.87,27.25,32.97,28.17,31.13
Mass Turnpike,Westbound,"Tue, Wed, Thu",2 PM,27.49,27.62,31.94,28.83,31.8
Mass Turnpike,Westbound,"Tue, Wed, Thu",3 PM,29.74,29.88,34.08,34.12,38.11
Mass Turnpike,Westbound,"Tue, Wed, Thu",4 PM,40.64,40.8,49.6,49.55,53.25
Mass Turnpike,Westbound,"Tue, Wed, Thu",5 PM,51.86,47.93,58.18,56.79,60.14
Mass Turnpike,Westbound,"Tue, Wed, Thu",6 PM,43.65,39.29,46.18,45.3,47.92
Mass Turnpike,Westbound,"Tue, Wed, Thu",7 PM,29.81,29.91,31.37,31.22,31.65
Mass Turnpike,Westbound,"Tue, Wed, Thu",8 PM,27.15,27.12,27.8,28.03,27.31
Mass Turnpike,Westbound,"Tue, Wed, Thu",9 PM,27.37,27.18,32.49,29.51,28.96
Mass Turnpike,Eastbound,weekend,6 AM,25.95,25.62,26.54,26.77,26.03
Mass Turnpike,Eastbound,weekend,7 AM,25.87,25.42,27.5,26.78,26.01
Mass Turnpike,Eastbound,weekend,8 AM,25.85,25.51,26.56,26.52,26.13
Mass Turnpike,Eastbound,weekend,9 AM,25.97,25.62,26.18,26.8,26.16
Mass Turnpike,Eastbound,weekend,10 AM,27.37,25.69,26.59,26.85,26.24
Mass Turnpike,Eastbound,weekend,11 AM,27.48,26.01,27.35,27.28,27.31
Mass Turnpike,Eastbound,weekend,12 PM,26.69,26.28,27.92,29.16,27.72
Mass Turnpike,Eastbound,weekend,1 PM,26.37,26.42,28.62,28.78,27.55
Mass Turnpike,Eastbound,weekend,2 PM,27.33,26.35,28.11,28.24,27.34
Mass Turnpike,Eastbound,weekend,3 PM,27.51,26.77,27.98,28.3,27.67
Mass Turnpike,Eastbound,weekend,4 PM,26.36,27.22,27.86,28.83,29.35
Mass Turnpike,Eastbound,weekend,5 PM,26,27.62,28.31,28.15,27.54
Mass Turnpike,Eastbound,weekend,6 PM,25.99,26.35,28.47,28.78,27.46
Mass Turnpike,Eastbound,weekend,7 PM,25.84,25.7,27.06,27.52,26.16
Mass Turnpike,Eastbound,weekend,8 PM,26.24,26.19,26.91,27.62,26.71
